ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,masculinity,likability,friends,typicality
2,1,23,2,4,typical,750,701,1,5,4,6,5,5
2,2,23,2,4,typical,721,703,1,5,5,5,5,5
2,3,23,2,4,typical,737,704,1,5,5,5,5,5
2,4,23,2,4,typical,744,706,1,3,5,5,5,6
2,5,23,2,4,typical,748,707,1,5,5,5,5,6
2,6,23,2,4,typical,737,709,1,4,5,5,5,6
2,7,23,2,4,typical,750,710,1,4,4,5,6,5
2,8,23,2,4,typical,748,713,3,5,5,5,5,5
2,9,23,2,4,typical,721,714,1,4,5,5,5,5
2,10,23,2,4,typical,744,716,1,4,5,5,5,5
2,11,23,2,4,typical,737,719,3,4,4,5,4,5
2,12,23,2,4,typical,744,722,1,4,5,4,5,5
2,13,23,2,4,typical,748,730,1,6,5,6,6,6
2,14,23,2,4,typical,721,733,1,4,4,4,4,4
2,15,23,2,4,typical,750,736,1,3,4,4,4,4
2,16,23,2,4,typical,748,740,1,3,3,3,3,3
2,17,23,2,4,typical,750,743,2,5,4,5,4,5
2,18,23,2,4,typical,737,745,1,5,4,5,4,6
2,19,23,2,4,typical,744,746,3,3,4,4,4,4
2,20,23,2,4,typical,721,749,1,4,3,4,4,4
4,1,21,2,4,atypical,750,701,2,8,8,9,9,6
4,2,21,2,4,atypical,721,703,2,3,4,2,2,2
4,3,21,2,4,atypical,737,704,2,5,4,7,9,8
4,4,21,2,4,atypical,744,706,3,9,8,9,9,7
4,5,21,2,4,atypical,748,707,2,3,1,1,1,7
4,6,21,2,4,atypical,737,709,3,9,9,9,9,9
4,7,21,2,4,atypical,750,710,2,7,7,8,8,3
4,8,21,2,4,atypical,748,713,2,1,3,1,1,1
4,9,21,2,4,atypical,721,714,2,7,2,9,1,9
4,10,21,2,4,atypical,744,716,2,7,6,9,9,6
4,11,21,2,4,atypical,737,719,2,3,3,5,2,9
4,12,21,2,4,atypical,744,722,2,7,5,9,9,9
4,13,21,2,4,atypical,748,730,1,5,6,7,7,7
4,14,21,2,4,atypical,721,733,1,7,7,9,9,9
4,15,21,2,4,atypical,750,736,2,3,1,2,1,9
4,16,21,2,4,atypical,748,740,2,3,2,2,5,8
4,17,21,2,4,atypical,750,743,2,3,2,5,2,6
4,18,21,2,4,atypical,737,745,1,6,7,7,7,5
4,19,21,2,4,atypical,744,746,2,5,8,7,9,9
4,20,21,2,4,atypical,721,749,2,2,1,1,2,9
5,1,52,1,4,typical,721,749,1,4,7,4,4,6
5,2,52,1,4,typical,744,746,2,4,7,6,5,4
5,3,52,1,4,typical,737,745,1,6,2,6,5,3
5,4,52,1,4,typical,750,743,1,6,2,7,6,3
5,5,52,1,4,typical,748,740,1,4,4,3,3,6
5,6,52,1,4,typical,750,736,1,3,4,3,3,7
5,7,52,1,4,typical,721,733,1,7,6,6,5,7
5,8,52,1,4,typical,748,730,1,3,4,5,5,3
5,9,52,1,4,typical,744,722,1,6,5,8,5,3
5,10,52,1,4,typical,737,719,1,4,6,5,4,7
5,11,52,1,4,typical,744,716,3,2,7,2,2,7
5,12,52,1,4,typical,721,714,1,2,7,2,2,8
5,13,52,1,4,typical,748,713,3,3,5,7,6,5
5,14,52,1,4,typical,750,710,1,6,3,6,5,3
