ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
1,1,1,23,2,4,3,4,6,male,typical,750,701,1,5,5,6,6,6
1,2,1,23,2,4,3,4,6,male,typical,721,703,1,6,5,5,5,6
1,3,1,23,2,4,3,4,6,male,typical,737,704,1,5,5,5,5,5
1,4,1,23,2,4,3,4,6,male,typical,744,706,1,5,5,5,5,5
1,5,1,23,2,4,3,4,6,male,typical,748,707,1,5,5,5,5,5
1,6,1,23,2,4,3,4,6,male,typical,737,709,1,5,5,5,5,5
1,7,1,23,2,4,3,4,6,male,typical,750,710,1,6,5,5,5,5
1,8,1,23,2,4,3,4,6,male,typical,748,713,1,5,5,5,5,5
1,9,1,23,2,4,3,4,6,male,typical,721,714,1,5,5,5,5,5
1,10,1,23,2,4,3,4,6,male,typical,744,716,1,6,6,6,6,5
1,11,1,23,2,4,3,4,6,male,typical,737,719,1,7,5,6,7,6
1,12,1,23,2,4,3,4,6,male,typical,744,722,1,3,5,4,5,5
1,13,1,23,2,4,3,4,6,male,typical,748,730,1,4,5,5,5,5
1,14,1,23,2,4,3,4,6,male,typical,721,733,1,6,6,6,5,5
1,15,1,23,2,4,3,4,6,male,typical,750,736,1,6,5,6,5,6
1,16,1,23,2,4,3,4,6,male,typical,748,740,1,5,5,5,5,5
1,17,1,23,2,4,3,4,6,male,typical,750,743,1,3,4,3,4,4
1,18,1,23,2,4,3,4,6,male,typical,737,745,1,4,5,5,4,5
1,19,1,23,2,4,3,4,6,male,typical,744,746,1,5,5,5,5,5
1,20,1,23,2,4,3,4,6,male,typical,721,749,1,4,5,5,5,5
1,21,1,23,2,4,3,4,6,female,typical,128,663,2,5,5,5,5,5
1,22,1,23,2,4,3,4,6,female,typical,173,508,2,4,5,5,5,5
1,23,1,23,2,4,3,4,6,female,typical,365,437,2,5,5,5,5,5
1,24,1,23,2,4,3,4,6,female,typical,377,417,2,4,5,5,5,5
1,25,1,23,2,4,3,4,6,female,typical,354,413,2,5,5,6,5,5
1,26,1,23,2,4,3,4,6,female,typical,354,406,2,4,5,6,5,5
1,27,1,23,2,4,3,4,6,female,typical,128,380,2,4,5,5,5,5
1,28,1,23,2,4,3,4,6,female,typical,173,371,2,5,5,5,5,6
1,29,1,23,2,4,3,4,6,female,typical,365,367,2,4,5,4,5,5
1,30,1,23,2,4,3,4,6,female,typical,377,354,2,5,6,5,6,5
1,31,1,23,2,4,3,4,6,female,typical,173,338,2,4,5,4,5,5
1,32,1,23,2,4,3,4,6,female,typical,377,333,2,5,5,6,5,5
1,33,1,23,2,4,3,4,6,female,typical,128,323,2,5,4,5,5,5
1,34,1,23,2,4,3,4,6,female,typical,354,319,2,4,5,5,4,5
1,35,1,23,2,4,3,4,6,female,typical,365,315,2,5,4,5,5,5
1,36,1,23,2,4,3,4,6,female,typical,128,199,2,4,5,5,4,5
1,37,1,23,2,4,3,4,6,female,typical,354,144,2,5,5,6,5,5
1,38,1,23,2,4,3,4,6,female,typical,173,121,2,3,5,4,5,5
1,39,1,23,2,4,3,4,6,female,typical,365,112,2,4,5,4,5,4
1,40,1,23,2,4,3,4,6,female,typical,377,103,2,6,5,6,5,6
3,1,10,30,2,4,4,1,7,male,typical,750,701,1,1,1,4,4,1
3,2,10,30,2,4,4,1,7,male,typical,721,703,1,6,5,6,7,6
