ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
1,1,23,2,4,male,typical,750,701,1,5,5,6,6,6
1,2,23,2,4,male,typical,721,703,1,6,5,5,5,6
1,3,23,2,4,male,typical,737,704,1,5,5,5,5,5
1,4,23,2,4,male,typical,744,706,1,5,5,5,5,5
1,5,23,2,4,male,typical,748,707,1,5,5,5,5,5
1,6,23,2,4,male,typical,737,709,1,5,5,5,5,5
1,7,23,2,4,male,typical,750,710,1,6,5,5,5,5
1,8,23,2,4,male,typical,748,713,1,5,5,5,5,5
1,9,23,2,4,male,typical,721,714,1,5,5,5,5,5
1,10,23,2,4,male,typical,744,716,1,6,6,6,6,5
1,11,23,2,4,male,typical,737,719,1,7,5,6,7,6
1,12,23,2,4,male,typical,744,722,1,3,5,4,5,5
1,13,23,2,4,male,typical,748,730,1,4,5,5,5,5
1,14,23,2,4,male,typical,721,733,1,6,6,6,5,5
1,15,23,2,4,male,typical,750,736,1,6,5,6,5,6
1,16,23,2,4,male,typical,748,740,1,5,5,5,5,5
1,17,23,2,4,male,typical,750,743,1,3,4,3,4,4
1,18,23,2,4,male,typical,737,745,1,4,5,5,4,5
1,19,23,2,4,male,typical,744,746,1,5,5,5,5,5
1,20,23,2,4,male,typical,721,749,1,4,5,5,5,5
1,21,23,2,4,female,typical,128,663,2,5,5,5,5,5
1,22,23,2,4,female,typical,173,508,2,4,5,5,5,5
1,23,23,2,4,female,typical,365,437,2,5,5,5,5,5
1,24,23,2,4,female,typical,377,417,2,4,5,5,5,5
1,25,23,2,4,female,typical,354,413,2,5,5,6,5,5
1,26,23,2,4,female,typical,354,406,2,4,5,6,5,5
1,27,23,2,4,female,typical,128,380,2,4,5,5,5,5
1,28,23,2,4,female,typical,173,371,2,5,5,5,5,6
1,29,23,2,4,female,typical,365,367,2,4,5,4,5,5
1,30,23,2,4,female,typical,377,354,2,5,6,5,6,5
1,31,23,2,4,female,typical,173,338,2,4,5,4,5,5
1,32,23,2,4,female,typical,377,333,2,5,5,6,5,5
