ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
1,1,3,24,1,4,2,1,5,male,fem,721,749,1,7,7,3,3,5
1,2,3,24,1,4,2,1,5,male,fem,744,746,2,7,8,9,8,5
1,3,3,24,1,4,2,1,5,male,fem,737,745,2,3,6,5,5,3
1,4,3,24,1,4,2,1,5,male,fem,750,743,2,3,5,7,6,4
1,5,3,24,1,4,2,1,5,male,fem,748,740,2,6,6,5,7,5
1,6,3,24,1,4,2,1,5,male,fem,750,736,2,4,6,7,6,3
1,7,3,24,1,4,2,1,5,male,fem,721,733,1,6,5,7,7,5
1,8,3,24,1,4,2,1,5,male,fem,748,730,3,7,8,8,6,3
1,9,3,24,1,4,2,1,5,male,fem,744,722,2,8,8,7,7,4
1,10,3,24,1,4,2,1,5,male,fem,737,719,3,6,7,8,8,5
1,11,3,24,1,4,2,1,5,male,fem,744,716,2,5,7,6,3,2
1,12,3,24,1,4,2,1,5,male,fem,721,714,2,7,7,8,5,6
1,13,3,24,1,4,2,1,5,male,fem,748,713,3,6,4,6,7,3
1,14,3,24,1,4,2,1,5,male,fem,750,710,2,4,3,4,2,3
1,15,3,24,1,4,2,1,5,male,fem,737,709,3,7,7,8,8,6
1,16,3,24,1,4,2,1,5,male,fem,748,707,2,8,7,8,8,4
1,17,3,24,1,4,2,1,5,male,fem,744,706,3,6,5,7,7,4
1,18,3,24,1,4,2,1,5,male,fem,737,704,3,4,4,6,3,3
1,19,3,24,1,4,2,1,5,male,fem,721,703,1,6,7,7,8,5
1,20,3,24,1,4,2,1,5,male,fem,750,701,3,7,5,6,3,7
1,21,3,24,1,4,2,1,5,female,fem,377,103,2,4,4,6,6,3
1,22,3,24,1,4,2,1,5,female,fem,365,122,2,5,6,5,6,4
1,23,3,24,1,4,2,1,5,female,fem,173,121,3,4,6,7,7,5
1,24,3,24,1,4,2,1,5,female,fem,354,144,2,7,6,8,8,6
1,25,3,24,1,4,2,1,5,female,fem,128,199,2,4,6,6,3,4
1,26,3,24,1,4,2,1,5,female,fem,365,315,2,4,4,7,5,4
1,27,3,24,1,4,2,1,5,female,fem,354,319,3,7,6,7,5,4
1,28,3,24,1,4,2,1,5,female,fem,128,323,2,7,8,6,7,6
1,29,3,24,1,4,2,1,5,female,fem,377,333,2,6,4,7,7,4
1,30,3,24,1,4,2,1,5,female,fem,173,338,3,7,7,8,8,4
1,31,3,24,1,4,2,1,5,female,fem,377,354,2,6,4,7,7,4
1,32,3,24,1,4,2,1,5,female,fem,365,367,2,3,3,6,4,6
1,33,3,24,1,4,2,1,5,female,fem,173,371,2,7,8,7,8,3
1,34,3,24,1,4,2,1,5,female,fem,128,380,3,3,2,5,3,2
1,35,3,24,1,4,2,1,5,female,fem,354,406,2,6,8,7,6,4
