ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
1,1,24,1,4,male,fem,721,749,1,7,7,3,3,5
1,2,24,1,4,male,fem,744,746,2,7,8,9,8,5
1,3,24,1,4,male,fem,737,745,2,3,6,5,5,3
1,4,24,1,4,male,fem,750,743,2,3,5,7,6,4
1,5,24,1,4,male,fem,748,740,2,6,6,5,7,5
1,6,24,1,4,male,fem,750,736,2,4,6,7,6,3
1,7,24,1,4,male,fem,721,733,1,6,5,7,7,5
1,8,24,1,4,male,fem,748,730,3,7,8,8,6,3
1,9,24,1,4,male,fem,744,722,2,8,8,7,7,4
1,10,24,1,4,male,fem,737,719,3,6,7,8,8,5
1,11,24,1,4,male,fem,744,716,2,5,7,6,3,2
1,12,24,1,4,male,fem,721,714,2,7,7,8,5,6
1,13,24,1,4,male,fem,748,713,3,6,4,6,7,3
1,14,24,1,4,male,fem,750,710,2,4,3,4,2,3
1,15,24,1,4,male,fem,737,709,3,7,7,8,8,6
1,16,24,1,4,male,fem,748,707,2,8,7,8,8,4
1,17,24,1,4,male,fem,744,706,3,6,5,7,7,4
1,18,24,1,4,male,fem,737,704,3,4,4,6,3,3
1,19,24,1,4,male,fem,721,703,1,6,7,7,8,5
1,20,24,1,4,male,fem,750,701,3,7,5,6,3,7
1,21,24,1,4,female,fem,377,103,2,4,4,6,6,3
1,22,24,1,4,female,fem,365,122,2,5,6,5,6,4
1,23,24,1,4,female,fem,173,121,3,4,6,7,7,5
1,24,24,1,4,female,fem,354,144,2,7,6,8,8,6
1,25,24,1,4,female,fem,128,199,2,4,6,6,3,4
1,26,24,1,4,female,fem,365,315,2,4,4,7,5,4
1,27,24,1,4,female,fem,354,319,3,7,6,7,5,4
1,28,24,1,4,female,fem,128,323,2,7,8,6,7,6
1,29,24,1,4,female,fem,377,333,2,6,4,7,7,4
1,30,24,1,4,female,fem,173,338,3,7,7,8,8,4
1,31,24,1,4,female,fem,377,354,2,6,4,7,7,4
1,32,24,1,4,female,fem,365,367,2,3,3,6,4,6
1,33,24,1,4,female,fem,173,371,2,7,8,7,8,3
1,34,24,1,4,female,fem,128,380,3,3,2,5,3,2
1,35,24,1,4,female,fem,354,406,2,6,8,7,6,4
1,36,24,1,4,female,fem,354,413,3,7,8,8,8,3
1,37,24,1,4,female,fem,377,417,3,6,4,7,8,4
1,38,24,1,4,female,fem,365,437,2,6,5,7,6,4
1,39,24,1,4,female,fem,173,508,3,7,4,7,8,3
1,40,24,1,4,female,fem,128,663,2,3,3,5,4,3
2,1,39,2,2,male,fem,750,701,2,4,5,5,5,5
2,2,39,2,2,male,fem,721,703,2,7,7,7,6,7
2,3,39,2,2,male,fem,737,704,2,4,5,5,5,6
2,4,39,2,2,male,fem,744,706,2,8,7,8,7,7
2,5,39,2,2,male,fem,748,707,2,6,7,6,6,7
2,6,39,2,2,male,fem,737,709,3,7,6,6,6,6
2,7,39,2,2,male,fem,750,710,2,6,6,5,5,7
2,8,39,2,2,male,fem,748,713,2,2,7,4,4,4
2,9,39,2,2,male,fem,721,714,2,5,4,6,6,6
2,10,39,2,2,male,fem,744,716,3,6,6,5,5,6
2,11,39,2,2,male,fem,737,719,2,6,6,5,5,6
2,12,39,2,2,male,fem,744,722,3,7,8,6,6,7
2,13,39,2,2,male,fem,748,730,2,5,6,5,5,6
2,14,39,2,2,male,fem,721,733,2,7,7,7,7,7
2,15,39,2,2,male,fem,750,736,2,6,6,5,5,5
2,16,39,2,2,male,fem,748,740,2,7,6,7,7,7
2,17,39,2,2,male,fem,750,743,3,7,7,7,7,8
2,18,39,2,2,male,fem,737,745,1,4,8,5,5,6
2,19,39,2,2,male,fem,744,746,2,6,9,6,6,6
2,20,39,2,2,male,fem,721,749,3,6,6,7,7,7
2,21,39,2,2,female,fem,128,663,2,4,4,5,5,4
2,22,39,2,2,female,fem,173,508,2,5,5,5,5,5
2,23,39,2,2,female,fem,365,437,2,6,6,5,5,6
2,24,39,2,2,female,fem,377,417,3,5,6,6,6,7
2,25,39,2,2,female,fem,354,413,3,7,9,7,7,7
2,26,39,2,2,female,fem,354,406,3,8,9,8,8,7
2,27,39,2,2,female,fem,128,380,2,5,4,5,5,4
2,28,39,2,2,female,fem,173,371,2,7,8,7,7,7
2,29,39,2,2,female,fem,365,367,2,7,5,6,6,5
2,30,39,2,2,female,fem,377,354,2,8,8,8,8,8
2,31,39,2,2,female,fem,173,338,1,8,8,8,8,9
2,32,39,2,2,female,fem,377,333,2,9,9,8,8,7
2,33,39,2,2,female,fem,128,323,1,7,6,6,6,7
2,34,39,2,2,female,fem,354,319,2,9,9,8,8,7
2,35,39,2,2,female,fem,365,315,2,8,9,7,7,7
2,36,39,2,2,female,fem,128,199,2,8,7,8,8,7
2,37,39,2,2,female,fem,354,144,3,8,7,8,8,8
2,38,39,2,2,female,fem,173,121,2,9,8,9,9,7
2,39,39,2,2,female,fem,365,112,2,8,7,8,8,7
2,40,39,2,2,female,fem,377,103,2,9,9,8,8,7
3,1,19,2,4,male,fem,721,749,1,8,8,8,8,8
3,2,19,2,4,male,fem,744,746,2,8,7,8,9,6
3,3,19,2,4,male,fem,737,745,2,9,8,8,9,7
3,4,19,2,4,male,fem,750,743,2,5,6,7,6,9
3,5,19,2,4,male,fem,748,740,2,8,8,8,9,8
3,6,19,2,4,male,fem,750,736,2,9,9,9,9,8
3,7,19,2,4,male,fem,721,733,1,7,7,8,8,9
3,8,19,2,4,male,fem,748,730,2,8,7,8,8,6
3,9,19,2,4,male,fem,744,722,2,6,7,8,7,9
3,10,19,2,4,male,fem,737,719,2,7,7,8,8,8
3,11,19,2,4,male,fem,744,716,2,9,8,9,9,8
3,12,19,2,4,male,fem,721,714,2,9,9,9,9,7
3,13,19,2,4,male,fem,748,713,2,7,7,8,8,7
3,14,19,2,4,male,fem,750,710,2,8,7,6,6,9
3,15,19,2,4,male,fem,737,709,2,9,8,9,9,8
3,16,19,2,4,male,fem,748,707,2,9,9,8,8,7
3,17,19,2,4,male,fem,744,706,3,9,6,8,9,7
3,18,19,2,4,male,fem,737,704,2,6,7,7,8,6
3,19,19,2,4,male,fem,721,703,1,7,7,8,8,8
3,20,19,2,4,male,fem,750,701,2,9,7,9,8,5
3,21,19,2,4,female,fem,128,663,2,9,8,9,9,7
3,22,19,2,4,female,fem,173,508,2,8,8,9,9,8
3,23,19,2,4,female,fem,365,437,2,9,7,9,9,8
3,24,19,2,4,female,fem,377,417,2,8,5,8,9,7
3,25,19,2,4,female,fem,354,413,2,9,9,8,9,7
3,26,19,2,4,female,fem,354,406,3,9,8,9,9,7
3,27,19,2,4,female,fem,128,380,2,8,4,7,8,6
3,28,19,2,4,female,fem,173,371,3,6,8,8,7,9
3,29,19,2,4,female,fem,365,367,2,9,8,9,9,7
3,30,19,2,4,female,fem,377,354,2,8,8,7,7,9
3,31,19,2,4,female,fem,173,338,2,8,7,8,8,8
3,32,19,2,4,female,fem,377,333,2,8,7,7,7,8
3,33,19,2,4,female,fem,128,323,2,5,6,6,7,8
3,34,19,2,4,female,fem,354,319,2,7,8,7,7,5
3,35,19,2,4,female,fem,365,315,2,7,6,8,7,5
3,36,19,2,4,female,fem,128,199,2,9,6,8,9,8
3,37,19,2,4,female,fem,354,144,2,8,9,8,9,9
3,38,19,2,4,female,fem,173,121,3,9,9,9,9,8
3,39,19,2,4,female,fem,365,112,2,8,4,7,8,6
3,40,19,2,4,female,fem,377,103,2,7,8,7,7,9
4,1,30,1,4,female,masc,377,103,2,9,9,9,9,9
4,2,30,1,4,female,masc,365,112,1,7,8,7,8,8
4,3,30,1,4,female,masc,173,121,2,8,8,8,8,9
4,4,30,1,4,female,masc,354,144,3,7,7,8,7,8
4,5,30,1,4,female,masc,128,199,3,6,7,7,6,7
4,6,30,1,4,female,masc,365,315,1,8,9,8,9,6
4,7,30,1,4,female,masc,354,319,2,6,6,6,6,5
4,8,30,1,4,female,masc,128,323,3,5,6,5,5,6
4,9,30,1,4,female,masc,377,333,3,9,9,8,9,7
4,10,30,1,4,female,masc,173,338,2,7,8,8,8,7
4,11,30,1,4,female,masc,377,354,3,8,8,8,8,7
4,12,30,1,4,female,masc,365,367,3,7,8,7,8,6
4,13,30,1,4,female,masc,173,371,3,9,9,9,9,9
4,14,30,1,4,female,masc,128,380,3,6,4,6,7,8
4,15,30,1,4,female,masc,354,406,1,9,9,8,9,8
4,16,30,1,4,female,masc,354,413,3,8,9,8,8,7
4,17,30,1,4,female,masc,377,417,2,7,7,8,8,8
4,18,30,1,4,female,masc,365,437,3,8,8,8,9,7
4,19,30,1,4,female,masc,173,508,3,8,7,7,8,8
4,20,30,1,4,female,masc,128,663,3,8,8,9,8,8
4,21,30,1,4,male,masc,721,749,2,8,8,8,8,8
4,22,30,1,4,male,masc,744,746,3,5,6,6,5,7
