ID,trial,Computer,Age,Sex,SO,Race,Politics,Education,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
1,1,10,27,1,3,3,4,5,typical,128,663,1,4,3,4,4,5
1,2,10,27,1,3,3,4,5,typical,173,508,2,4,3,4,5,5
1,3,10,27,1,3,3,4,5,typical,365,437,2,5,4,5,5,6
1,4,10,27,1,3,3,4,5,typical,377,417,2,6,6,6,6,7
1,5,10,27,1,3,3,4,5,typical,354,413,2,6,5,6,6,7
1,6,10,27,1,3,3,4,5,typical,354,406,1,6,6,6,7,7
1,7,10,27,1,3,3,4,5,typical,128,380,3,3,3,5,5,4
1,8,10,27,1,3,3,4,5,typical,173,371,2,1,3,3,2,3
1,9,10,27,1,3,3,4,5,typical,365,367,2,2,2,3,2,3
1,10,10,27,1,3,3,4,5,typical,377,354,2,5,4,6,6,6
1,11,10,27,1,3,3,4,5,typical,173,338,2,5,5,6,5,6
1,12,10,27,1,3,3,4,5,typical,377,333,3,6,5,6,6,5
1,13,10,27,1,3,3,4,5,typical,128,323,2,5,6,6,6,6
1,14,10,27,1,3,3,4,5,typical,354,319,2,3,3,4,4,5
1,15,10,27,1,3,3,4,5,typical,365,315,2,3,5,4,4,4
1,16,10,27,1,3,3,4,5,typical,128,199,2,6,4,5,6,6
1,17,10,27,1,3,3,4,5,typical,354,144,3,7,7,7,7,6
1,18,10,27,1,3,3,4,5,typical,173,121,1,6,7,6,7,6
1,19,10,27,1,3,3,4,5,typical,365,112,3,5,4,6,6,6
1,20,10,27,1,3,3,4,5,typical,377,103,3,6,7,7,7,7
2,1,3,22,2,2,4,5,7,typical,377,103,2,3,5,7,7,7
2,2,3,22,2,2,4,5,7,typical,365,122,2,7,5,6,7,6
2,3,3,22,2,2,4,5,7,typical,173,121,2,2,5,7,7,6
2,4,3,22,2,2,4,5,7,typical,354,144,2,7,5,7,7,7
2,5,3,22,2,2,4,5,7,typical,128,199,2,6,5,6,6,7
2,6,3,22,2,2,4,5,7,typical,365,315,2,2,5,6,6,7
2,7,3,22,2,2,4,5,7,typical,354,319,1,1,5,6,6,7
2,8,3,22,2,2,4,5,7,typical,128,323,2,3,5,6,7,7
2,9,3,22,2,2,4,5,7,typical,377,333,2,1,5,6,7,7
2,10,3,22,2,2,4,5,7,typical,173,338,2,6,5,6,7,7
2,11,3,22,2,2,4,5,7,typical,377,354,3,4,5,6,6,7
2,12,3,22,2,2,4,5,7,typical,365,367,2,7,5,6,7,7
