ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
1,1,27,1,3,typical,128,663,1,4,3,4,4,5
1,2,27,1,3,typical,173,508,2,4,3,4,5,5
1,3,27,1,3,typical,365,437,2,5,4,5,5,6
1,4,27,1,3,typical,377,417,2,6,6,6,6,7
1,5,27,1,3,typical,354,413,2,6,5,6,6,7
1,6,27,1,3,typical,354,406,1,6,6,6,7,7
1,7,27,1,3,typical,128,380,3,3,3,5,5,4
1,8,27,1,3,typical,173,371,2,1,3,3,2,3
1,9,27,1,3,typical,365,367,2,2,2,3,2,3
1,10,27,1,3,typical,377,354,2,5,4,6,6,6
1,11,27,1,3,typical,173,338,2,5,5,6,5,6
1,12,27,1,3,typical,377,333,3,6,5,6,6,5
1,13,27,1,3,typical,128,323,2,5,6,6,6,6
1,14,27,1,3,typical,354,319,2,3,3,4,4,5
1,15,27,1,3,typical,365,315,2,3,5,4,4,4
1,16,27,1,3,typical,128,199,2,6,4,5,6,6
1,17,27,1,3,typical,354,144,3,7,7,7,7,6
1,18,27,1,3,typical,173,121,1,6,7,6,7,6
1,19,27,1,3,typical,365,112,3,5,4,6,6,6
1,20,27,1,3,typical,377,103,3,6,7,7,7,7
2,1,22,2,4,typical,377,103,2,3,5,7,7,7
2,2,22,2,4,typical,365,122,2,7,5,6,7,6
2,3,22,2,4,typical,173,121,2,2,5,7,7,6
2,4,22,2,4,typical,354,144,2,7,5,7,7,7
2,5,22,2,4,typical,128,199,2,6,5,6,6,7
2,6,22,2,4,typical,365,315,2,2,5,6,6,7
2,7,22,2,4,typical,354,319,1,1,5,6,6,7
2,8,22,2,4,typical,128,323,2,3,5,6,7,7
2,9,22,2,4,typical,377,333,2,1,5,6,7,7
2,10,22,2,4,typical,173,338,2,6,5,6,7,7
2,11,22,2,4,typical,377,354,3,4,5,6,6,7
2,12,22,2,4,typical,365,367,2,7,5,6,7,7
2,13,22,2,4,typical,173,371,2,1,5,6,6,7
2,14,22,2,4,typical,128,380,2,2,5,5,5,6
2,15,22,2,4,typical,354,406,2,2,5,6,7,7
2,16,22,2,4,typical,354,413,2,1,5,5,5,7
2,17,22,2,4,typical,377,417,1,6,5,6,6,6
2,18,22,2,4,typical,365,437,2,1,5,6,7,6
2,19,22,2,4,typical,173,508,1,6,5,6,7,6
2,20,22,2,4,typical,128,663,2,4,5,6,7,6
3,1,18,1,3,typical,128,663,3,4,7,7,8,7
3,2,18,1,3,typical,173,508,1,8,8,8,7,6
3,3,18,1,3,typical,365,437,1,5,6,6,5,7
3,4,18,1,3,typical,377,417,2,5,6,5,5,5
3,5,18,1,3,typical,354,413,2,4,9,5,5,8
3,6,18,1,3,typical,354,406,1,5,7,7,5,5
3,7,18,1,3,typical,128,380,3,4,6,7,7,6
3,8,18,1,3,typical,173,371,1,7,7,7,6,5
3,9,18,1,3,typical,365,367,3,9,8,8,8,7
3,10,18,1,3,typical,377,354,2,8,8,7,5,4
3,11,18,1,3,typical,173,338,2,5,7,5,5,6
3,12,18,1,3,typical,377,333,2,4,8,5,3,8
3,13,18,1,3,typical,128,323,1,5,7,5,5,6
3,14,18,1,3,typical,354,319,2,8,8,7,8,9
3,15,18,1,3,typical,365,315,3,9,8,6,7,8
3,16,18,1,3,typical,128,199,1,2,6,6,5,7
3,17,18,1,3,typical,354,144,3,8,8,8,6,5
3,18,18,1,3,typical,173,121,1,5,6,7,7,6
3,19,18,1,3,typical,365,112,2,7,7,8,8,4
3,20,18,1,3,typical,377,103,1,9,8,8,8,3
4,1,26,2,1,atypical,128,663,1,6,7,6,5,8
4,2,26,2,1,atypical,173,508,1,6,7,7,7,8
4,3,26,2,1,atypical,365,437,3,6,6,7,7,7
4,4,26,2,1,atypical,377,417,1,6,6,8,7,8
4,5,26,2,1,atypical,354,413,1,5,7,6,4,4
4,6,26,2,1,atypical,354,406,1,6,6,6,6,7
4,7,26,2,1,atypical,128,380,1,5,5,6,6,5
4,8,26,2,1,atypical,173,371,1,6,6,7,6,6
4,9,26,2,1,atypical,365,367,1,6,5,5,5,5
4,10,26,2,1,atypical,377,354,3,6,6,6,4,5
4,11,26,2,1,atypical,173,338,1,6,6,7,7,8
4,12,26,2,1,atypical,377,333,1,5,5,5,4,5
4,13,26,2,1,atypical,128,323,2,6,7,5,4,7
4,14,26,2,1,atypical,354,319,1,6,7,6,5,8
4,15,26,2,1,atypical,365,315,1,6,6,6,5,7
4,16,26,2,1,atypical,128,199,3,6,7,8,5,9
4,17,26,2,1,atypical,354,144,1,6,6,7,6,7
4,18,26,2,1,atypical,173,121,1,6,8,7,6,8
4,19,26,2,1,atypical,365,112,1,6,7,7,6,7
4,20,26,2,1,atypical,377,103,1,6,6,6,5,5
5,1,36,2,4,atypical,377,103,1,8,8,9,7,4
5,2,36,2,4,atypical,365,112,1,6,7,7,7,7
5,3,36,2,4,atypical,173,121,3,5,6,6,6,6
5,4,36,2,4,atypical,354,144,1,7,8,8,8,7
5,5,36,2,4,atypical,128,199,3,5,5,7,7,5
5,6,36,2,4,atypical,365,315,2,6,7,5,5,6
5,7,36,2,4,atypical,354,319,2,7,8,8,8,7
5,8,36,2,4,atypical,128,323,1,5,6,6,6,5
5,9,36,2,4,atypical,377,333,1,7,8,6,6,7
5,10,36,2,4,atypical,173,338,1,8,8,8,8,8
5,11,36,2,4,atypical,377,354,1,9,9,9,9,7
5,12,36,2,4,atypical,365,367,3,6,7,7,7,7
5,13,36,2,4,atypical,173,371,1,8,8,8,8,6
5,14,36,2,4,atypical,128,380,1,3,3,5,5,3
5,15,36,2,4,atypical,354,406,3,9,9,8,8,7
5,16,36,2,4,atypical,354,413,1,9,9,8,8,7
5,17,36,2,4,atypical,377,417,1,5,4,6,6,6
5,18,36,2,4,atypical,365,437,2,7,6,6,6,8
5,19,36,2,4,atypical,173,508,1,3,3,6,6,4
5,20,36,2,4,atypical,128,663,2,2,2,6,6,2
6,1,29,1,2,typical,377,103,2,4,9,2,3,8
6,2,29,1,2,typical,365,122,2,8,3,7,9,6
